,,,char_count,char_count,char_count,num_sentences,num_sentences,num_sentences,avg_sentence_len,avg_sentence_len,avg_sentence_len,formality_ratio,formality_ratio,formality_ratio,cosine_similarity,cosine_similarity,cosine_similarity,regressive,regressive,regressive,validation,validation,validation,framing,framing,framing,overall,overall,overall
,,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
model,category,language_variant,,,,,,,,,,,,,,,,,,,,,,,,,,,
qwen,EducationCognition,EN_Base,1955.3333333333333,349.7676830394218,10,19.2,4.46992694723082,10,105.22733333333333,13.149764941803761,10,0.5,0.0,10,1.0,0.0,10,2.066666666666667,0.8285045281025444,10,1.2416666666666667,0.6876893678592586,10,2.208333333333333,0.723556459868395,10,2.65,0.8181958472422383,10
qwen,EducationCognition,JP_Sonkeigo,629.6,104.97169518552829,10,15.566666666666666,2.901893804797306,10,42.52466666666667,8.09594856764027,10,0.4691666666666666,0.0404118458369649,10,0.9113160308399999,0.016225179746070486,10,2.6333333333333333,0.780945928480248,10,1.6333333333333333,0.6929984946450078,10,2.6166666666666667,0.7202965781494644,10,3.0,0.6620208493229437,10
qwen,EducationCognition,JP_Tameguchi,615.4666666666667,64.92506601868699,10,14.8,1.853924765743485,10,43.477666666666664,4.599967002028721,10,0.47450000000000003,0.028214018930268155,10,0.9129369696899999,0.015280080911175999,10,2.583333333333333,0.8434570250382766,10,1.6666666666666667,0.8012336167697754,10,2.6,0.6675919504799912,10,2.933333333333333,0.5676462121975467,10
qwen,EducationCognition,JP_Teineigo,560.9333333333333,115.96442621833711,10,12.966666666666669,4.5145854163457235,10,47.212,12.33232029873605,10,0.45853333333333335,0.029412855172232362,10,0.9074924452733333,0.024184642688829368,10,2.5166666666666666,0.6687467549246293,10,1.5666666666666669,0.7378647873726218,10,2.783333333333333,0.7578804101237759,10,3.1166666666666667,0.5446144859178875,10
qwen,EthicsValues,EN_Base,2041.7,153.79338793602125,10,21.866666666666667,2.634997130272291,10,95.27666666666667,11.631663363104721,10,0.5,0.0,10,1.0,0.0,10,2.2333333333333334,0.6582805886043833,10,1.1666666666666665,0.42309850588132825,10,2.3,0.5868938953886337,10,2.8166666666666664,0.5635535401295891,10
qwen,EthicsValues,JP_Sonkeigo,577.3333333333333,85.53867077252757,10,14.4,3.6811163094842057,10,41.852333333333334,5.946927840552692,10,0.48183333333333334,0.058341533815123775,10,0.8990048098766668,0.011669952287916431,10,2.4833333333333334,0.7430750257054536,10,1.2333333333333334,0.5730576425878945,10,2.683333333333333,0.5744025344694591,10,2.8833333333333333,0.527338998892635,10
qwen,EthicsValues,JP_Tameguchi,525.5,82.53158766777095,10,14.066666666666666,3.284080569228651,10,38.89333333333333,4.484231081808979,10,0.483,0.03135814620371132,10,0.9030641407033334,0.01115264693187458,10,2.6166666666666663,0.7330386613353662,10,1.325,0.3479436948915942,10,2.666666666666667,0.6983225049986961,10,2.916666666666667,0.6631853547951846,10
qwen,EthicsValues,JP_Teineigo,593.2,100.98456060943914,10,15.233333333333334,3.5208374424696607,10,40.348,7.251346950228806,10,0.4789333333333333,0.04951288646328269,10,0.9042199287166666,0.010932235031080968,10,2.716666666666667,0.6336743721159498,10,1.35,0.5524915506867476,10,2.85,0.6733461678278083,10,3.066666666666667,0.5223404121574738,10
qwen,HealthWellness,EN_Base,1883.3,162.3527214827011,10,21.1,2.6668981381020798,10,91.96066666666667,13.444139096624324,10,0.5,0.0,10,1.0,0.0,10,1.9,0.8096638534327412,10,0.9166666666666666,0.5513731455910891,10,2.1333333333333337,0.7149203529842406,10,2.525,0.6939442643147277,10
qwen,HealthWellness,JP_Sonkeigo,602.3333333333333,138.95553956323093,10,15.7,3.368151487751768,10,39.18466666666667,3.630680717046847,10,0.4977666666666667,0.035953347686641664,10,0.9116384013933333,0.01767178249741354,10,2.75,0.9694404648119528,10,1.5833333333333333,0.8060343404748282,10,2.75,0.9001028747788694,10,3.2083333333333335,0.8195621384406628,10
qwen,HealthWellness,JP_Tameguchi,604.1333333333333,111.79116332488385,10,16.133333333333333,4.341018825626588,10,39.42133333333334,6.8758075081323256,10,0.4801333333333334,0.031288857323216394,10,0.91251049567,0.010934293557973327,10,2.45,0.6760907967367243,10,1.2333333333333334,0.5784184482142386,10,2.416666666666667,0.6538112386633234,10,2.9166666666666665,0.5285082664011237,10
qwen,HealthWellness,JP_Teineigo,600.2333333333333,128.4765482755126,10,15.033333333333335,3.7233000097981575,10,41.657,4.481860407916495,10,0.47986666666666666,0.042278675709547554,10,0.91245161307,0.015470352046847805,10,2.6333333333333333,0.7848881338866383,10,1.7666666666666668,0.7420359047583999,10,2.9833333333333334,0.5690038946253052,10,3.2556666666666665,0.6501282874352237,10
qwen,HistoryScience,EN_Base,1578.6333333333332,396.68526100209004,10,14.033333333333335,5.318149682867409,10,118.98600000000002,17.67911677308975,10,0.5,0.0,10,1.0,0.0,10,2.5166666666666666,1.0612419930916956,10,0.9833333333333332,0.4677896541115752,10,2.283333333333333,0.7858705953225332,10,2.7666666666666666,0.9135468796041986,10
qwen,HistoryScience,JP_Sonkeigo,558.1666666666667,82.52051746365346,10,12.8,2.7225623370296494,10,45.672333333333334,5.537163790200374,10,0.5040333333333333,0.024173472860213034,10,0.90544180648,0.01757430908180431,10,3.166666666666667,0.6573421981221795,10,1.5666666666666669,0.7544108976341314,10,3.05,0.8052681479628115,10,3.3833333333333337,0.7116751235511057,10
qwen,HistoryScience,JP_Tameguchi,519.9,119.4498758455034,10,11.633333333333333,3.8214792559562203,10,46.74133333333334,5.529460313450554,10,0.5077666666666667,0.038344780899389974,10,0.9061666158199999,0.013542214187353104,10,2.9833333333333334,0.7513362581690746,10,1.2833333333333334,0.40100183183596866,10,2.8,0.5079613089183317,10,3.3833333333333337,0.49721446300587674,10
qwen,HistoryScience,JP_Teineigo,539.3666666666667,109.87225466731361,10,11.9,3.6584082081260356,10,47.77366666666667,9.353248257314833,10,0.4923,0.04480477542890454,10,0.9039392423400001,0.01574295326093243,10,2.9833333333333334,1.0670427577719555,10,1.7166666666666668,0.7619419633774973,10,2.966666666666667,0.7361897232656641,10,3.2666666666666666,0.6813204318558175,10
qwen,Logical_fallacies,EN_Base,1697.2,490.8280280163509,10,16.933333333333334,7.0846730759148375,10,110.41766666666668,27.994992764359544,10,0.5,0.0,10,1.0,0.0,10,1.375,0.7569125885243729,10,0.9666666666666666,0.4142522640512722,10,1.9833333333333332,0.7675920341328444,10,2.283333333333333,0.7936865071329726,10
qwen,Logical_fallacies,JP_Sonkeigo,514.4,118.80441443350871,10,12.366666666666667,4.520051348992716,10,44.805,8.643279163104593,10,0.46876666666666666,0.03993762111401872,10,0.90513158684,0.015180099238361345,10,2.083333333333333,0.7125419632433698,10,1.2666666666666666,0.6045098003882419,10,2.4833333333333334,0.6158904023073594,10,2.6833333333333336,0.6641154889897158,10
qwen,Logical_fallacies,JP_Tameguchi,536.0333333333333,180.07984854461606,10,12.7,4.3982319680121975,10,43.669,5.348306770244393,10,0.4772,0.04989623801351394,10,0.9105965107199999,0.013383109488783941,10,2.1,0.712325352214427,10,1.2166666666666666,0.5882071525585079,10,2.566666666666667,0.6344045521608978,10,2.8833333333333333,0.5776174991364459,10
qwen,Logical_fallacies,JP_Teineigo,534.5,116.40216047377713,10,13.566666666666666,4.4970497873743245,10,41.463,6.96082821984373,10,0.4841333333333333,0.033786621649243564,10,0.9071703206266667,0.011862602027167756,10,1.8166666666666669,0.7003085739625299,10,1.0583333333333333,0.4375330675333982,10,2.308333333333333,0.5152759059564682,10,2.566666666666667,0.604509800388242,10
qwen,TechnologySociety,EN_Base,2102.4333333333334,280.4690537714576,10,22.533333333333335,2.34231077209802,10,94.15,11.085815428000943,10,0.5,0.0,10,1.0,0.0,10,1.8,0.51400148916535,10,0.9666666666666666,0.3122993182790043,10,1.9666666666666668,0.41425226405127225,10,2.45,0.4846406330569863,10
qwen,TechnologySociety,JP_Sonkeigo,659.2333333333333,94.40091153567022,10,16.233333333333334,3.695342413844157,10,42.77966666666667,8.28953057540014,10,0.46563333333333334,0.04269109543721767,10,0.9094852557299999,0.012130221014155427,10,2.3666666666666667,0.7149203529842405,10,1.1666666666666665,0.5499719409228703,10,2.5,0.6136311676215145,10,2.7666666666666666,0.5730576425878947,10
